Heb	Eng
להתאבק	to wrestle
מתאבק	I / you m. sg. / he / it become(s) dusty
מתאבקת	I / you f. sg. / she / it become(s) dusty
מתאבקים	we / you m. pl. / they m. become dusty
מתאבקות	we / you f. pl. / they f. become dusty
התאבקתי	I became dusty
התאבקנו	we became dusty
התאבקת	you m. sg. became dusty
התאבקת	you f. sg. became dusty
התאבקתם	you m. pl. became dusty
התאבקתם	you m. pl. became dusty
התאבקתן	you f. pl. became dusty
התאבקתן	you f. pl. became dusty
התאבק	he / it became dusty
התאבקה	she / it became dusty
התאבקו	they became dusty
אתאבק	I will become dusty
נתאבק	we will become dusty
תתאבק	you m. sg. will become dusty
תתאבקי	you f. sg. will become dusty
תתאבקו	you m. pl. will become dusty
תתאבקנה	you f. pl. will become dusty
תתאבקו	you f. pl. will become dusty
יתאבק	he / it will become dusty
תתאבק	she / it will become dusty
יתאבקו	they m. will become dusty
תתאבקנה	they f. will become dusty
יתאבקו	they f. will become dusty
התאבק!‏	(to a man) become dusty!
התאבקי!‏	(to a woman) become dusty!
התאבקו!‏	(to men) become dusty!
התאבקנה!‏	(to women) become dusty!
התאבקו!‏	(to women) become dusty!
להתאבק	to become dusty
מאבק	I / you m. sg. / he / it powder(s)
מאבקת	I / you f. sg. / she / it powder(s)
מאבקים	we / you m. pl. / they m. powder
מאבקות	we / you f. pl. / they f. powder
אאבק	I will powder
נאבק	we will powder
תאבק	you m. sg. will powder
תאבקי	you f. sg. will powder
תאבקו	you m. pl. will powder
תאבקנה	you f. pl. will powder
תאבקו	you f. pl. will powder
יאבק	he / it will powder
תאבק	she / it will powder
יאבקו	they m. will powder
תאבקנה	they f. will powder
יאבקו	they f. will powder
אבק!‏	(to a man) powder!
אבקי!‏	(to a woman) powder!
אבקו!‏	(to men) powder!
אבקנה!‏	(to women) powder!
אבקו!‏	(to women) powder!
לאבק	to powder
מאביק	I / you m. sg. / he / it pollinate(s)
מאביקה	I / you f. sg. / she / it pollinate(s)
מאביקים	we / you m. pl. / they m. pollinate
מאביקות	we / you f. pl. / they f. pollinate
האבקתי	I pollinated
האבקנו	we pollinated
האבקת	you m. sg. pollinated
האבקת	you f. sg. pollinated
האבקתם	you m. pl. pollinated
האבקתם	you m. pl. pollinated
האבקתן	you f. pl. pollinated
האבקתן	you f. pl. pollinated
האביק	he / it pollinated
האביקה	she / it pollinated
האביקו	they pollinated
אאביק	I will pollinate
נאביק	we will pollinate
תאביק	you m. sg. will pollinate
תאביקי	you f. sg. will pollinate
תאביקו	you m. pl. will pollinate
תאבקנה	you f. pl. will pollinate
תאביקו	you f. pl. will pollinate
יאביק	he / it will pollinate
תאביק	she / it will pollinate
יאביקו	they m. will pollinate
תאבקנה	they f. will pollinate
יאביקו	they f. will pollinate
האבק!‏	(to a man) pollinate!
האביקי!‏	(to a woman) pollinate!
האביקו!‏	(to men) pollinate!
האבקנה!‏	(to women) pollinate!
האביקו!‏	(to women) pollinate!
להאביק	to pollinate
אביר	knight
אבירים	knights
אביר	knight of ...
אבירי	knights of ...
אבירי	my knight
אבירנו	our knight
אבירך	your m. sg. knight
אבירך	your f. sg. knight
אבירכם	your m. pl. knight
אבירכן	your f. pl. knight
אבירו	his / its knight
אבירה	her / its knight
אבירם	their m. knight
אבירן	their f. knight
אבירינו	our knights
אביריך	your m. sg. knights
אביריכם	your m. pl. knights
אביריכן	your f. pl. knights
אביריו	his / its knights
אביריה	her / its knights
אביריהם	their m. knights
אביריהן	their f. knights
אברה	pinion
אברות	pinions
אברת	pinion of ...
אברות	pinions of ...
אברתי	my pinion
אברתנו	our pinion
אברתך	your m. sg. pinion
אברתך	your f. sg. pinion
אברתכם	your m. pl. pinion
אברתכן	your f. pl. pinion
אברתו	his / its pinion
אברתה	her / its pinion
אברתם	their m. pinion
אברתן	their f. pinion
אברותינו	our pinions
אברותיך	your m. sg. pinions
אברותיכם	your m. pl. pinions
אברותיכן	your f. pl. pinions
אברותיו	his / its pinions
